team_id,team_name,student_ids
1,BCA 2,2272|2274|2284
2,CCC,1078|1558
3,Charter,2278|493
4,Cougz,2275|2290
5,CRH Math Team,949|2258|2279
6,Fat L Club,1355|1456
7,GVHS Math Club,2246
8,Hotchkiss,2228|1069|2248|2285
9,Individuals Team 162,2206|2262|2287
10,Jericho Mathletes,738|1464|2222|2239|881
11,Knights B,362|2277|1081
12,MHSProfessionalJobbers,2237|2289
13,Millburn Mathematical Madpeople,2140|2201|2273|2283|2296
14,Pingry Blue,1623|2164|2257|2281|2294
15,PHS Math Team,1084|2216
16,PRISMS Baby Falcons,2276
17,PRISMS Young Falcons,1406|2205|2254|2280
18,Sierra Canyon School,96|1874|1962|2186|2288
19,Ward Melville Math Team,548|582|1539|184
20,Wellesley Raiders,263|2282
21,Ridge Mu Alpha Theta,2008|2295
22,MCA Underdogs,30|1003|2286|2292
23,Fat L Club,1355|1456|2291
24,Tenafly High School,2293
25,Pingry White Team,2159
26,CCC,1078|1456|1507
